text,price symbol,price,claimed,attributes,opentime
Lotus of Siam,$$,$11-30,1,"{'Has Soy-free Options': 'Yes', 'Has Dairy-free Options': 'Yes', 'Liked by Vegans': 'Yes', 'Has Gluten-free Options': 'Yes', 'Liked by Vegetarians': 'Yes', 'Takes Reservations': 'Yes', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Good For': 'Lunch, Dinner, Dessert', 'Parking': 'Private Lot', 'Bike Parking': 'No', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual, Trendy, Classy', 'Noise Level': 'Average', 'Good For Dancing': 'No', 'Alcohol': 'Full Bar', 'Good For Happy Hour': 'No', 'Best Nights': 'Wed, Thu, Sun', 'Coat Check': 'No', 'Outdoor Seating': 'No', 'Wi-Fi': 'No', 'Has TV': 'No', 'Dogs Allowed': 'No', 'Waiter Service': 'Yes', 'Caters': 'No'}","{'Mon': '11:00 am-2:30 pm', 'Tue': '11:00 am-2:30 pm', 'Wed': '11:00 am-2:30 pm', 'Thu': '11:00 am-2:30 pm', 'Fri': '11:00 am-2:30 pm', 'Sat': '5:30 pm-10:00 pm', 'Sun': '5:30 pm-10:00 pm'}"
Hobak Korean BBQ,$$,$11-30,1,"{'Takes Reservations': 'No', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'Yes', 'Accepts Google Pay': 'No', 'Good For': 'Lunch, Dinner', 'Parking': 'Private Lot', 'Bike Parking': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual, Trendy', 'Noise Level': 'Average', 'Alcohol': 'Beer & Wine Only', 'Outdoor Seating': 'No', 'Wi-Fi': 'Free', 'Has TV': 'Yes', 'Dogs Allowed': 'No', 'Waiter Service': 'Yes', 'Caters': 'No'}","{'Mon': '11:30 am-11:00 pm', 'Tue': '11:30 am-11:00 pm', 'Wed': '11:30 am-11:00 pm', 'Thu': '11:30 am-11:00 pm', 'Fri': '11:30 am-12:00 am', 'Sat': '11:30 am-12:00 am', 'Sun': '11:30 am-11:00 pm'}"
Luke’s Lobster Las Vegas,$$,$11-30,1,"{'Takes Reservations': 'No', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Google Pay': 'No', 'Accepts Cryptocurrency': 'No', 'Good For': 'Lunch', 'Parking': 'Garage', 'Bike Parking': 'No', 'Wheelchair Accessible': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'No', 'Attire': 'Casual', 'Ambience': 'Casual', 'Noise Level': 'Average', 'Alcohol': 'No', 'Good For Happy Hour': 'No', 'Outdoor Seating': 'Yes', 'Wi-Fi': 'No', 'Has TV': 'No', 'Dogs Allowed': 'No', 'Waiter Service': 'No', 'Caters': 'Yes'}","{'Mon': '10:00 am-9:00 pm', 'Tue': '10:00 am-9:00 pm', 'Wed': '10:00 am-9:00 pm', 'Thu': '10:00 am-9:00 pm', 'Fri': '10:00 am-10:00 pm', 'Sat': '10:00 am-10:00 pm', 'Sun': '10:00 am-9:00 pm'}"
Brio Tuscan Grille,$$,$11-30,1,"{'Has Soy-free Options': 'Yes', 'Liked by Vegans': 'Yes', 'Liked by Vegetarians': 'Yes', 'Takes Reservations': 'Yes', 'Delivery': 'Yes', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Google Pay': 'No', 'Good For': 'Lunch, Dinner', 'Parking': 'Valet, Garage, Street', 'Bike Parking': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Ambience': 'Classy', 'Noise Level': 'Average', 'Good For Dancing': 'No', 'Alcohol': 'Full Bar', 'Good For Happy Hour': 'Yes', 'Best Nights': 'Tue, Fri, Sat', 'Coat Check': 'No', 'Smoking': 'No', 'Outdoor Seating': 'Yes', 'Wi-Fi': 'Free', 'Has TV': 'Yes', 'Dogs Allowed': 'No', 'Caters': 'Yes', 'Has Pool Table': 'No'}","{'Mon': '11:00 am-11:00 pm', 'Tue': '11:00 am-11:00 pm', 'Wed': '11:00 am-11:00 pm', 'Thu': '11:00 am-11:00 pm', 'Fri': '11:00 am-12:00 am', 'Sat': '11:00 am-12:00 am', 'Sun': '11:00 am-11:00 pm'}"
Yardbird Southern Table & Bar,$$,$11-30,0,"{'Has Dairy-free Options': 'Yes', 'Has Keto Options': 'Yes', 'Has Gluten-free Options': 'Yes', 'Takes Reservations': 'Yes', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Google Pay': 'No', 'Good For': 'Brunch, Lunch, Dinner', 'Parking': 'Garage', 'Bike Parking': 'Yes', 'Wheelchair Accessible': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual, Trendy', 'Noise Level': 'Average', 'Alcohol': 'Full Bar', 'Good For Happy Hour': 'Yes', 'Outdoor Seating': 'No', 'Wi-Fi': 'Free', 'Has TV': 'Yes', 'Dogs Allowed': 'No', 'Waiter Service': 'Yes', 'Caters': 'Yes'}","{'Mon': '11:00 am-11:00 pm', 'Tue': '11:00 am-11:00 pm', 'Wed': '11:00 am-11:00 pm', 'Thu': '11:00 am-11:00 pm', 'Fri': '11:00 am-12:00 am', 'Sat': '10:00 am-12:00 am', 'Sun': '10:00 am-11:00 pm'}"
The Oyster Bar,$$,$11-30,0,"{'Takes Reservations': 'No', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Google Pay': 'No', 'Good For': 'Lunch, Dinner, Late Night', 'Parking': 'Private Lot', 'Bike Parking': 'No', 'Good for Kids': 'No', 'Good for Groups': 'No', 'Attire': 'Casual', 'Ambience': 'Casual', 'Noise Level': 'Average', 'Good For Dancing': 'No', 'Alcohol': 'Beer & Wine Only', 'Good For Happy Hour': 'Yes', 'Best Nights': 'Mon, Tue, Wed', 'Coat Check': 'No', 'Smoking': 'No', 'Outdoor Seating': 'No', 'Wi-Fi': 'Free', 'Has TV': 'No', 'Dogs Allowed': 'No', 'Waiter Service': 'No', 'Caters': 'No', 'Has Pool Table': 'No'}",{}
District One,$$,$11-30,1,"{'Has Dairy-free Options': 'Yes', 'Liked by Vegans': 'Yes', 'Happy Hour Specials': 'Yes', 'Liked by Vegetarians': 'Yes', 'Takes Reservations': 'Yes', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Google Pay': 'No', 'Good For': 'Lunch, Dinner, Late Night', 'Parking': 'Private Lot', 'Bike Parking': 'Yes', 'Wheelchair Accessible': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Hipster, Casual, Trendy', 'Noise Level': 'Average', 'Good For Dancing': 'No', 'Alcohol': 'Full Bar', 'Good For Happy Hour': 'Yes', 'Best Nights': 'Fri, Sat, Sun', 'Coat Check': 'No', 'Smoking': 'No', 'Outdoor Seating': 'No', 'Wi-Fi': 'Free', 'Has TV': 'Yes', 'Dogs Allowed': 'No', 'Waiter Service': 'Yes', 'Caters': 'Yes', 'Has Pool Table': 'No'}","{'Mon': '11:00 am-1:00 am', 'Tue': '11:00 am-1:00 am', 'Wed': '11:00 am-1:00 am', 'Thu': '11:00 am-1:00 am', 'Fri': '11:00 am-1:00 am', 'Sat': '11:00 am-1:00 am', 'Sun': '11:00 am-1:00 am'}"
Mon Ami Gabi,$$,$11-30,1,"{'Has Dairy-free Options': 'Yes', 'Has Keto Options': 'Yes', 'Liked by Vegans': 'Yes', 'Has Gluten-free Options': 'Yes', 'Liked by Vegetarians': 'Yes', 'Takes Reservations': 'Yes', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Google Pay': 'No', 'Good For': 'Brunch, Lunch, Dinner', 'Parking': 'Garage', 'Bike Parking': 'No', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Romantic', 'Noise Level': 'Average', 'Alcohol': 'Full Bar', 'Outdoor Seating': 'Yes', 'Wi-Fi': 'No', 'Has TV': 'No', 'Dogs Allowed': 'No', 'Caters': 'No'}","{'Mon': '7:00 am-11:00 pm', 'Tue': '7:00 am-11:00 pm', 'Wed': '7:00 am-11:00 pm', 'Thu': '7:00 am-11:00 pm', 'Fri': '7:00 am-12:00 am', 'Sat': '7:00 am-12:00 am', 'Sun': '7:00 am-11:00 pm'}"
Shang Artisan Noodle,$,Under $10,1,"{'Has Dairy-free Options': 'Yes', 'Liked by Vegans': 'Yes', 'Liked by Vegetarians': 'Yes', 'Takes Reservations': 'No', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Google Pay': 'No', 'Good For': 'Lunch, Dinner', 'Parking': 'Private Lot', 'Bike Parking': 'No', 'Wheelchair Accessible': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual, Trendy', 'Noise Level': 'Average', 'Alcohol': 'Beer & Wine Only', 'Good For Happy Hour': 'No', 'Outdoor Seating': 'No', 'Wi-Fi': 'Free', 'Has TV': 'No', 'Dogs Allowed': 'No', 'Waiter Service': 'Yes', 'Caters': 'No'}","{'Mon': '11:00 am-10:00 pm', 'Tue': '11:00 am-10:00 pm', 'Wed': '11:00 am-10:00 pm', 'Thu': '11:00 am-10:00 pm', 'Fri': '11:00 am-10:00 pm', 'Sat': '11:00 am-10:00 pm', 'Sun': '11:00 am-10:00 pm'}"
Joes Seafood Prime Steak & Stone Crab,$$$,$31-60,1,"{'Has Dairy-free Options': 'Yes', 'Has Gluten-free Options': 'Yes', 'Takes Reservations': 'Yes', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Google Pay': 'No', 'Good For': 'Dinner', 'Parking': 'Valet, Garage', 'Bike Parking': 'No', 'Good for Kids': 'No', 'Good for Groups': 'Yes', 'Attire': 'Dressy', 'Ambience': 'Classy', 'Noise Level': 'Average', 'Good For Dancing': 'No', 'Alcohol': 'Full Bar', 'Good For Happy Hour': 'No', 'Best Nights': 'Thu, Fri, Sat', 'Coat Check': 'Yes', 'Smoking': 'No', 'Outdoor Seating': 'Yes', 'Wi-Fi': 'No', 'Has TV': 'Yes', 'Dogs Allowed': 'No', 'Caters': 'Yes'}","{'Mon': '11:30 am-10:00 pm', 'Tue': '11:30 am-10:00 pm', 'Wed': '11:30 am-10:00 pm', 'Thu': '11:30 am-10:00 pm', 'Fri': '11:30 am-11:00 pm', 'Sat': '11:30 am-11:00 pm', 'Sun': '11:30 am-10:00 pm'}"
